restaurant,street,city,state,zip,street_len,concat
Abiquiu Cafe,1034 W Belmont Ave,Chicago,IL,60657,4,"1034 W Belmont Ave, Chicago, IL 60657"
Abou Andre,60 E Jackson,Chicago,IL,60604,3,"60 E Jackson, Chicago, IL 60604"
Absolutely Chinese Restaurant,2140 Plum Grove Rd,Rolling Meadows,IL,60008,4,"2140 Plum Grove Rd, Rolling Meadows, IL 60008"
Absolutely Delicious,18 N Cass Ave,Westmont,IL,60559,4,"18 N Cass Ave, Westmont, IL 60559"
Abuelo's Pilsen Grill,2007 S. Damne Ave,Chicago,IL,60608,4,"2007 S. Damne Ave, Chicago, IL 60608"
Acadia,1639 S Wabash Ave,Chicago,IL,60616,4,"1639 S Wabash Ave, Chicago, IL 60616"
Ach-N-Lou's Pizza Pub,1592 N Farnsworth Ave,Aurora,IL,60505,4,"1592 N Farnsworth Ave, Aurora, IL 60505"
Act One Pub,1330 W Morse Ave,Chicago,IL,60626,4,"1330 W Morse Ave, Chicago, IL 60626"
Ada's Famous Deli,14 S Wabash Ave,Chicago,IL,60603,4,"14 S Wabash Ave, Chicago, IL 60603"
Adamo's Pizza & Italian Restaurant,835 N Roselle Rd,Schaumburg,IL,60193,4,"835 N Roselle Rd, Schaumburg, IL 60193"
Adamo's Pizza Pasta Express,1550 N State Rt 59,Naperville,IL,60563,5,"1550 N State Rt 59, Naperville, IL 60563"
Addante Pizzeria,26W215 Geneva Rd,Wheaton,IL,60187,3,"26W215 Geneva Rd, Wheaton, IL 60187"
Adobe Cafe,1919 E Passyunk Ave,Philadelphia,IL,19148,4,"1919 E Passyunk Ave, Philadelphia, IL 19148"
Adobe Gilas,5455 Park Place,Rosemont,IL,60018,3,"5455 Park Place, Rosemont, IL 60018"
Adobo Grill - Old Town,1610 North Wells Street,Chicago,IL,60614,4,"1610 North Wells Street, Chicago, IL 60614"
Affresco Pizzeria and Lounge,11 N. Northwest Hwy,Park Ridge,IL,60068,4,"11 N. Northwest Hwy, Park Ridge, IL 60068"
Afghanistan Kebab House,764 9th Ave (between 51st St & 52nd St),New York,NY,10019,9,"764 9th Ave (between 51st St & 52nd St), New York, NY 10019"
Agavi Juice LLC,72 E. 7th Street,New York,NY,10003,4,"72 E. 7th Street, New York, NY 10003"
Agozar Cuban Bistro,324 Bowery,New York,NY,10012,2,"324 Bowery, New York, NY 10012"
Aguamiel,30 S Prospect,Clarendon Hills,IL,60514,3,"30 S Prospect, Clarendon Hills, IL 60514"
Aja,660 N. State Street,Chicago,IL,60654,4,"660 N. State Street, Chicago, IL 60654"
Akita Sushi,3295 Woodward Ave,Santa Clara,CA,95054,3,"3295 Woodward Ave, Santa Clara, CA 95054"
Al's Beef,601 west adams,Chicago,IL,60604,3,"601 west adams, Chicago, IL 60604"
Al's No.1 Italian Beef and Nancy's Pizza,1600 W Lake St,Addison,IL,60101,4,"1600 W Lake St, Addison, IL 60101"
Al's Pizza,28W241 Warrenville Rd,Warrenville,IL,60555,3,"28W241 Warrenville Rd, Warrenville, IL 60555"
Al's Pizza and Grill,402 W Broadway,Boston,MA,2127,3,"402 W Broadway, Boston, MA 2127"
Al's Pizzeria,2019 87th St,Woodridge,IL,60517,3,"2019 87th St, Woodridge, IL 60517"
Al & Andy's Resturant,9724 Irving Park Rd,Schiller Park,IL,60176,4,"9724 Irving Park Rd, Schiller Park, IL 60176"
Al & Joe's Deli,10348 Addison Ave,Franklin Park,IL,60131,3,"10348 Addison Ave, Franklin Park, IL 60131"
Aladdin's Palace,8821 W 87th St.,Hickory Hills,IL,60457,4,"8821 W 87th St., Hickory Hills, IL 60457"
Alberto's Restaurant,150 S Gary Ave,Carol Stream,IL,60188,4,"150 S Gary Ave, Carol Stream, IL 60188"
Alcock's,411 S. Wells Street,Chicago,IL,60607,4,"411 S. Wells Street, Chicago, IL 60607"
Alcock's Inn,411 S Wells St,Chicago,IL,60607,4,"411 S Wells St, Chicago, IL 60607"
Aldo's Pizza,1901 S Racine Ave,Chicago,IL,60608,4,"1901 S Racine Ave, Chicago, IL 60608"
Alemar's Restaurant,795 W Dundee Rd,Palatine,IL,60074,4,"795 W Dundee Rd, Palatine, IL 60074"
Alfie's Inn,425 Roosevelt Rd,Glen Ellyn,IL,60137,3,"425 Roosevelt Rd, Glen Ellyn, IL 60137"
Alfredo's Italian Kitchen - South Boston,243 Dorchester Street,South Boston,MA,2127,3,"243 Dorchester Street, South Boston, MA 2127"
Alhambra Palace,1240 W. Randolph,Chicago,IL,60607,3,"1240 W. Randolph, Chicago, IL 60607"
Alimentari,621 W Randolph St,Chicago,IL,60661,4,"621 W Randolph St, Chicago, IL 60661"
Alimentari Osteria,621 W Randolph St,Chicago,IL,60661,4,"621 W Randolph St, Chicago, IL 60661"
All Aboard Diner,1510B 75th St,Downers Grove,IL,60516,3,"1510B 75th St, Downers Grove, IL 60516"
Allegrettis Pizza & Pasta,636 E Golf Rd,Arlington Heights,IL,60005,4,"636 E Golf Rd, Arlington Heights, IL 60005"
Allende Restaurant,1238 S Highland Ave,Lombard,IL,60148,4,"1238 S Highland Ave, Lombard, IL 60148"
Alliance Bakery & Cafe,1736 W Division St,Chicago,IL,60622,4,"1736 W Division St, Chicago, IL 60622"
All Inclusive Catering,4859 Cuming St,Omaha,NE,68132,3,"4859 Cuming St, Omaha, NE 68132"
Allium,120 E Delaware PL,Chicago,IL,60611,4,"120 E Delaware PL, Chicago, IL 60611"
Allspice Cafe,251 E Huron St,Chicago,IL,60611,4,"251 E Huron St, Chicago, IL 60611"
Allstar Sports Bar and Grill,205 W Wacker Dr,Chicago,IL,60606,4,"205 W Wacker Dr, Chicago, IL 60606"
Allstars Sports Bar,"205 w. wacker (on wells st.) , chicago, il, 60606",Chicago,IL,60606,10,"205 w. wacker (on wells st.) , chicago, il, 60606, Chicago, IL 60606"
All Ways Catering & Deli,110 Turner Ave,Elk Grove Village,IL,60009,3,"110 Turner Ave, Elk Grove Village, IL 60009"
Alma Pita Restaurant,"4600 N Magnolia Ave, Ste F",Chicago,IL,60640,6,"4600 N Magnolia Ave, Ste F, Chicago, IL 60640"
Aloha Eats,2534 N Clark St,Chicago,IL,60614,4,"2534 N Clark St, Chicago, IL 60614"
Aloha Stir-Fry and Grill,754 E Schaumburg Rd,Schaumburg,IL,60194,4,"754 E Schaumburg Rd, Schaumburg, IL 60194"
Alonti Cafe,2015 Spring Rd,Oak Brook,IL,60523,3,"2015 Spring Rd, Oak Brook, IL 60523"
Alonti Cafe,401 S Lasalle St,Chicago,IL,60605,4,"401 S Lasalle St, Chicago, IL 60605"
Alonti Market Cafe,1 N Franklin St,Chicago,IL,60606,4,"1 N Franklin St, Chicago, IL 60606"
Alpine Food Shop,7538 W North Ave,Elmwood Park,IL,60707,4,"7538 W North Ave, Elmwood Park, IL 60707"
ALPS West Restaurant & Pancake House,3637 W. Irving Park Rd,Chicago,IL,60618,5,"3637 W. Irving Park Rd, Chicago, IL 60618"
Al-Sham Restaurant,6738 Bustleton Ave,Philadelphia,PA,19149,3,"6738 Bustleton Ave, Philadelphia, PA 19149"
Altiro Latin Fusion,2116 W Roscoe St,Chicago,IL,60618,4,"2116 W Roscoe St, Chicago, IL 60618"
altThai,40 S. Arlington Heights Rd,Arlington Heights,IL,60005,5,"40 S. Arlington Heights Rd, Arlington Heights, IL 60005"
Always Thai,1825 W Irving Park Rd,Chicago,IL,60613,5,"1825 W Irving Park Rd, Chicago, IL 60613"
Amada's Cafe,340 W Lake St,Addison,IL,60101,4,"340 W Lake St, Addison, IL 60101"
Amalfi Ristorante,298 Glen Ellyn Rd,Bloomingdale,IL,60117,4,"298 Glen Ellyn Rd, Bloomingdale, IL 60117"
Amanda's Pizzeria,4159 N. Western Ave,Chicago,IL,60601,4,"4159 N. Western Ave, Chicago, IL 60601"
Amari's Restaurant,5037 Baltimore Ave,Philadelphia,PA,19143,3,"5037 Baltimore Ave, Philadelphia, PA 19143"
Amarit Thai Restaurant,600 S Dearborn St,Chicago,IL,60605,4,"600 S Dearborn St, Chicago, IL 60605"
Amato's Pizza,2113 Bloomingdale Rd,Glendale Heights,IL,60139,3,"2113 Bloomingdale Rd, Glendale Heights, IL 60139"
Amato's Pizzeria,32150 N Aurora Rd,Aurora,IL,60504,4,"32150 N Aurora Rd, Aurora, IL 60504"
Amazebowls,University Park,Los Angeles,CA,90007,2,"University Park, Los Angeles, CA 90007"
Amazing Edibles,2419 W 14th St,Chicago,IL,60608,4,"2419 W 14th St, Chicago, IL 60608"
Amber,13 N Cass Ave,Westmont,IL,60559,4,"13 N Cass Ave, Westmont, IL 60559"
Ameer's Mediterranean Grill,2168 Briarcliff Rd,Atlanta,GA,30329,3,"2168 Briarcliff Rd, Atlanta, GA 30329"
Ameer Kabob,1050 N Milwaukee Ave,Chicago,IL,60654,4,"1050 N Milwaukee Ave, Chicago, IL 60654"
Amelia's Mestizo Grill,4559 S. Halsted,Chicago,IL,60609,3,"4559 S. Halsted, Chicago, IL 60609"
America's Bar and Grill,2308 W Higgins Rd,Hoffman Estates,IL,60169,4,"2308 W Higgins Rd, Hoffman Estates, IL 60169"
America's Dog and Grill,26 E Randolph St,Chicago,IL,60601,4,"26 E Randolph St, Chicago, IL 60601"
America's Historic Roundhouse,205 N Broadway Ave,Aurora,IL,60506,4,"205 N Broadway Ave, Aurora, IL 60506"
Americana Submarine,400 S Clark St,Chicago,IL,60605,4,"400 S Clark St, Chicago, IL 60605"
American Junkie,15 W. Illinois St.,Chicago,IL,60654,4,"15 W. Illinois St., Chicago, IL 60654"
American submarine,400 S. Clark Street,Chicago,IL,60605,4,"400 S. Clark Street, Chicago, IL 60605"
American Wildburger-Chi Burbs,1550 E Oakton,Des Plaines,IL,60018,3,"1550 E Oakton, Des Plaines, IL 60018"
American Wildburger-DT Chi,1234 N Halsted,Chicago,IL,60642,3,"1234 N Halsted, Chicago, IL 60642"
Amigos Locos,347 Great Road,Bedford,MA,1730,3,"347 Great Road, Bedford, MA 1730"
Amigos Mexican Grill,The Crossings Shopping Ctr 1025 Crossings Blvd,Spring Hill,TN,37174,7,"The Crossings Shopping Ctr 1025 Crossings Blvd, Spring Hill, TN 37174"
Amigos Pizza & Taco,325 S Schmale Rd,Carol Stream,IL,60188,4,"325 S Schmale Rd, Carol Stream, IL 60188"
Amore Mio,1457 Palatine Rd,Hoffman Estates,IL,60192,3,"1457 Palatine Rd, Hoffman Estates, IL 60192"
Andalous Moroccan,3307 N Clark St,Chicago,IL,60657,4,"3307 N Clark St, Chicago, IL 60657"
Andorkas,2110 South Halsted,Chicago,IL,60608,3,"2110 South Halsted, Chicago, IL 60608"
Andres Cafe,811 Harrison Avenue,Boston,MA,2118,3,"811 Harrison Avenue, Boston, MA 2118"
Andy's Thai Kitchen,946 W Wellington,Chicago,IL,60657,3,"946 W Wellington, Chicago, IL 60657"
Aneu Kitchen,1556 Lancaster Ave,Paoli,PA,19301,3,"1556 Lancaster Ave, Paoli, PA 19301"
Angel's,230 S. Ashland Ave,Chicago,IL,60607,4,"230 S. Ashland Ave, Chicago, IL 60607"
Angel's Mexican Restaurant,279 W Dundee Rd,Palatine,IL,60074,4,"279 W Dundee Rd, Palatine, IL 60074"
Angel Food Bakery,1636 W Montrose St,Chicago,IL,60613,4,"1636 W Montrose St, Chicago, IL 60613"
Angelina's,175 W Golf Rd,Schaumburg,IL,60195,4,"175 W Golf Rd, Schaumburg, IL 60195"
Angelina Ristorante,3561 N. Broadway St,Chicago,IL,60657,4,"3561 N. Broadway St, Chicago, IL 60657"
Angelo's Pizza,1003 Curtiss St,Downers Grove,IL,60515,3,"1003 Curtiss St, Downers Grove, IL 60515"
Angelo's Restaurant,247 N York St,Elmhurst,IL,60126,4,"247 N York St, Elmhurst, IL 60126"
Angora Cafe,1024 Commonwealth Ave,Boston,MA,2215,3,"1024 Commonwealth Ave, Boston, MA 2215"
Ani,3056 Lincolne Ave,Chicago,IL,60657,3,"3056 Lincolne Ave, Chicago, IL 60657"
Animals Food and Drink,140 Ave C,New York,NY,10009,3,"140 Ave C, New York, NY 10009"
Anima Pizza and Pasta,698 S Vermont Ave #106,La,CA,90005,5,"698 S Vermont Ave #106, La, CA 90005"
Anna's Asian Bistro,1804 W Irving Park Rd,Chicago,IL,60613,5,"1804 W Irving Park Rd, Chicago, IL 60613"
Anna Maria Pasteria,4400 N Clark St,Chicago,IL,60613,4,"4400 N Clark St, Chicago, IL 60613"
Anne's Mandarin,1550 W Fullerton Ave,Chicago,IL,60614,4,"1550 W Fullerton Ave, Chicago, IL 60614"
Annette's Restaurant,1296 Boughton Road,Bolingbrook,IL,60440,3,"1296 Boughton Road, Bolingbrook, IL 60440"
Annie's Pancake House,4900 Oakton St,Skokie,IL,60077,3,"4900 Oakton St, Skokie, IL 60077"
Ann Sathers,5207 N. Clark St,Chicago,IL,60640,4,"5207 N. Clark St, Chicago, IL 60640"
Anoushella,35 W Newton Street,Boston,MA,2118,4,"35 W Newton Street, Boston, MA 2118"
Anteprima,5316 N. Clark Street,Chicago,IL,60640,4,"5316 N. Clark Street, Chicago, IL 60640"
Anthem Grill,704 W Euclid,Palatine,IL,60067,3,"704 W Euclid, Palatine, IL 60067"
Anthony's Pizzeria,216 North Ave,Northlake,IL,60164,3,"216 North Ave, Northlake, IL 60164"
Antico,1946 N Leavitt St,(773) 489-4895,IL,60647,4,"1946 N Leavitt St, (773) 489-4895, IL 60647"
Antico Noe,220 East 53rd Street,New York,NY,10022,4,"220 East 53rd Street, New York, NY 10022"
Antico Posto,118 Oakbrook Center,Oakbrook,IL,60523,3,"118 Oakbrook Center, Oakbrook, IL 60523"
Antonis Restaurant,1151 East 9th Street,Lockport,IL,60441,4,"1151 East 9th Street, Lockport, IL 60441"
Aodake Japanese Sushi & Steak House,2129 75th St,Darien,IL,60561,3,"2129 75th St, Darien, IL 60561"
Aodake Sushi & Steak House,462 N Weber Rd,Romeoville,IL,60446,4,"462 N Weber Rd, Romeoville, IL 60446"
AOK Gourmet,4950 Dempster St,Skokie,IL,60076,3,"4950 Dempster St, Skokie, IL 60076"
AOK Gourmet,4950 Depster St,Chicago,IL,60077,3,"4950 Depster St, Chicago, IL 60077"
Apart Pizza Company,2205 W. Montrose,Chicago,IL,606057,3,"2205 W. Montrose, Chicago, IL 606057"
A Plate on Southport,2819 N Southport Ave,Chicago,IL,60657,4,"2819 N Southport Ave, Chicago, IL 60657"
Apollo Grill,348 E North Ave,Lombard,IL,60148,4,"348 E North Ave, Lombard, IL 60148"
Apple Spice Junction,1105 Remington Rd,Schaumburg,IL,60173,3,"1105 Remington Rd, Schaumburg, IL 60173"
Apple Villa,3101 N Barrington Rd,Hoffman Estates,IL,60173,4,"3101 N Barrington Rd, Hoffman Estates, IL 60173"
Arabian Bites,734 Saint Timothy Place,Morgan Hill,CA,95037,4,"734 Saint Timothy Place, Morgan Hill, CA 95037"
Arami,1829 WEST CHICAGO AVE,Chicago,IL,60622,4,"1829 WEST CHICAGO AVE, Chicago, IL 60622"
Aranda's Tacos,2448 Rte 30,Oswego,IL,60543,3,"2448 Rte 30, Oswego, IL 60543"
Ara On,190 S La Salle St,Chicago,IL,60603,5,"190 S La Salle St, Chicago, IL 60603"
Ararat,364 Townline Rd,Mundelein,IL,60060,3,"364 Townline Rd, Mundelein, IL 60060"
Arbor Vitae Library Cafe,425 Fawell Blvd,Glen Ellyn,IL,60138,3,"425 Fawell Blvd, Glen Ellyn, IL 60138"
Arcadian Sushi,4347 N Harding,Chicago,IL,60618,3,"4347 N Harding, Chicago, IL 60618"
Archie's Place,12 Pi Alley,Boston,MA,2108,3,"12 Pi Alley, Boston, MA 2108"
Arena Sports Grille,630 W Lake St,Elmhurst,IL,60126,4,"630 W Lake St, Elmhurst, IL 60126"
Argent Restaurant & Raw Bar,660 N State St,Chicago,IL,60654,4,"660 N State St, Chicago, IL 60654"
Aria,200 N. Columbus Drive,Chicago,IL,60601,4,"200 N. Columbus Drive, Chicago, IL 60601"
Ariston Restaurant,919 Mannheim Rd,Bellwood,IL,60104,3,"919 Mannheim Rd, Bellwood, IL 60104"
Ariya,2S535 Rt 59,Warrenville,IL,60555,3,"2S535 Rt 59, Warrenville, IL 60555"
Armand's Pizza and Pasta,105 W 1st St,Elmhurst,IL,60126,4,"105 W 1st St, Elmhurst, IL 60126"
Armand's Pizzeria,2555 W. 75th Street,Naperville,IL,60540,4,"2555 W. 75th Street, Naperville, IL 60540"
Armand's Pizzeria,70 N Vail Ave,Arlington Heights,IL,60005,4,"70 N Vail Ave, Arlington Heights, IL 60005"
"Armand's Pizzeria, Salseria, Taco Fresco",233 S Wacker Dr,Chicago,IL,60686,4,"233 S Wacker Dr, Chicago, IL 60686"
Arnie's Pizza,2S676 State Rt 59,Warrenville,IL,60555,4,"2S676 State Rt 59, Warrenville, IL 60555"
Aroy Thai Restaurant,4654 N Damen Ave,Chicago,IL,60625,4,"4654 N Damen Ave, Chicago, IL 60625"
Artango Bistro,4217 N Ravenswood Ave (between Cullom Ave & Berteau Ave),Chicago,IL,60613,10,"4217 N Ravenswood Ave (between Cullom Ave & Berteau Ave), Chicago, IL 60613"
Artisan Sandwiches by Brick Wall Kitchen,224 Cypress St,Brookline,MA,2445,3,"224 Cypress St, Brookline, MA 2445"
Artist's Cafe,1150 S Wabash,Chicago,IL,60605,3,"1150 S Wabash, Chicago, IL 60605"
Artist's Cafe,1150 S Wabash Ave,Chicago,IL,60605,4,"1150 S Wabash Ave, Chicago, IL 60605"
Artistic Cuisine,16 S Bothwell St,Palatine,IL,60067,4,"16 S Bothwell St, Palatine, IL 60067"
Artopolis Bakery and Cafe,306 S Halsted St,Chicago,IL,60661,4,"306 S Halsted St, Chicago, IL 60661"
Arturo's Tacos,2001 N. Western Ave.,Chicago,IL,60647,4,"2001 N. Western Ave., Chicago, IL 60647"
Arturo Express,130 S Canal St,Chicago,IL,60606,4,"130 S Canal St, Chicago, IL 60606"
Arun's Thai Restaurant,4156 N Kedzie Ave,Chicago,IL,60618,4,"4156 N Kedzie Ave, Chicago, IL 60618"
Arvati's Pizza,610 Roosevelt Rd,Glen Ellyn,IL,60137,3,"610 Roosevelt Rd, Glen Ellyn, IL 60137"
Arya Bhavan,2508 W Devon Ave,Chicago,IL,60659,4,"2508 W Devon Ave, Chicago, IL 60659"
Asahi Japanese Restaurant,851 N Quentin Rd,Palatine,IL,60067,4,"851 N Quentin Rd, Palatine, IL 60067"
Ashoka,252 E Army Trail Rd,Glendale Heights,IL,60139,5,"252 E Army Trail Rd, Glendale Heights, IL 60139"
Ashur Restaurant,291 Roxbury Street,Boston,MA,2119,3,"291 Roxbury Street, Boston, MA 2119"
Ashyana Catering,1845 s. michigan ave. suite 1804,Chicago,IL,60616,6,"1845 s. michigan ave. suite 1804, Chicago, IL 60616"
Asia Buffet & Grill,8059 S Cicero Avenue,Chicago,IL,60652,4,"8059 S Cicero Avenue, Chicago, IL 60652"
Asiago,601 Martingale Rd,Schaumburg,IL,60159,3,"601 Martingale Rd, Schaumburg, IL 60159"
AsiaGo Express,176 N Wells St,Chicago,IL,60610,4,"176 N Wells St, Chicago, IL 60610"
Asian Bistro,65 W Golf Rd,Arlington Heights,IL,60004,4,"65 W Golf Rd, Arlington Heights, IL 60004"
Asian Buffet,281 N Weber Rd,Bolingbrook,IL,60490,4,"281 N Weber Rd, Bolingbrook, IL 60490"
Asian Chao and Villa Italian,18 W Jackson Blvd,Chicago,IL,60604,4,"18 W Jackson Blvd, Chicago, IL 60604"
Asian Express,902 W North Ave,Melrose Park,IL,60160,4,"902 W North Ave, Melrose Park, IL 60160"
Asian Mix Cafe,3945 North Broadway Street,Chicago,IL,60613,4,"3945 North Broadway Street, Chicago, IL 60613"
Asian Noodle House,844 N Roselle Rd,Hoffman Est,IL,60194,4,"844 N Roselle Rd, Hoffman Est, IL 60194"
Asian Outpost,1315 S Wabash Ave,Chicago,IL,60605,4,"1315 S Wabash Ave, Chicago, IL 60605"
Asian Pearl,466 N Main Street,Glen Ellyn,IL,60137,4,"466 N Main Street, Glen Ellyn, IL 60137"
Asian Slider House,5855 Charlotte Pike,Nashville,TN,37209,3,"5855 Charlotte Pike, Nashville, TN 37209"
Asian Star,1239 S Main Street,Lombard,IL,60148,4,"1239 S Main Street, Lombard, IL 60148"
A taste of heaven,5401 N. Clark,Chicago,IL,60640,3,"5401 N. Clark, Chicago, IL 60640"
A Tavola,2148 W Chicago Ave,Chicago,IL,60622,4,"2148 W Chicago Ave, Chicago, IL 60622"
At Chilli Thai Bistro,1799 Commonwealth Ave,Brighton,MA,2135,3,"1799 Commonwealth Ave, Brighton, MA 2135"
Athena Restaurant,212 S. Halsted St,Chicago,IL,60661,4,"212 S. Halsted St, Chicago, IL 60661"
Athenian Room,807 W. Webster Ave,Chicago,IL,60614,4,"807 W. Webster Ave, Chicago, IL 60614"
Atino's Pizza,1511 E Hyde Park Blvd,Chicago,IL,60615,5,"1511 E Hyde Park Blvd, Chicago, IL 60615"
Atino's Pizza,1511 E Hyde Park Blvd,Chicago,IL,60607,5,"1511 E Hyde Park Blvd, Chicago, IL 60607"
Atlanta Bread Co,28251 Diehl Rd,Warrenville,IL,60555,3,"28251 Diehl Rd, Warrenville, IL 60555"
Atlanta Bread Co. -Dunwoody  Breakfast,908 Buford Rd,Cumming,GA,30041,3,"908 Buford Rd, Cumming, GA 30041"
